SarbMEGA	SbayMEGA	ScerMEGA	SkudMEGA	SmikMEGA	SparMEGA
chrXII_+_424740-424883_0	Sbay10_+_451510-451632_1	chrXII_+_441306-441440_0	Skud12_+_425023-425166_1	Smik12_+_423840-423965_0	chrXII_+_430122-430244_0
chrV_-_93044-92832_1	Sbay5_+_110802-110888_0	chrV_-_118106-118008_0	Skud5_-_117534-117340_0	Smik5_-_124141-124007_2	chrV_-_116152-116054_0
chrXII_+_137353-137457_1	Sbay10_+_152569-152670_1	chrXII_+_147595-147780_1	Skud12_+_138913-139056_1	Smik12_+_134567-134785_2	chrXII_+_138830-139015_2
chrXII_-_596603-596454_1	Sbay10_-_613289-612846_0	chrXII_-_646132-645827_1	Skud12_-_592663-592475_2	Smik12_-_590694-590560_0	chrXII_-_612173-611874_1
chrXVI_+_241498-241578_1	Sbay16_+_270388-270612_1	chrXVI_+_261221-261331_2	Skud16_+_232821-233012_0	Smik6_-_563021-562830_0	chrXVI_+_293106-293312_0
chrXV_+_44694-44855_0	Sbay15_+_52250-52411_2	chrXV_+_74326-74481_1	Skud15_+_39657-39812_0	Smik15_+_42467-42607_2	chrXV_+_72710-72868_2
chrV_-_473723-473661_1	Sbay5_-_478034-477972_1	chrV_-_510296-510234_0	Skud5_-_495385-495323_2	Smik5_-_509831-509769_1	chrV_-_512340-512278_1
chrVIII_-_158797-158720_0	Sbay15_-_358742-358641_2	chrVIII_-_151534-151433_2	Skud8_-_132051-131908_1	Smik8_-_131143-131048_0	chrVIII_-_134911-134687_0
chrVII_-_785743-785609_2	Sbay7_-_779135-779016_1	chrVII_-_809715-809596_0	Skud7_-_793213-793094_1	Smik6_-_428831-428712_0	chrVII_-_791177-791058_2
chrII_-_78167-78000_2	Sbay2_-_85232-85008_0	chrII_-_88281-88099_2	Skud2_-_71874-71740_1	Smik2_-_82249-81956_1	chrII_-_82766-82653_1
chrIV_-_1099265-1098978_2	Sbay13_-_863333-863271_2	chrXIII_-_880668-880444_0	Skud13_-_854172-853834_2	Smik13_-_863616-863197_2	chrXIII_-_849305-849045_2
chrXIV_-_609544-609455_0	Sbay14_-_611668-611579_2	chrXIV_-_631374-631201_2	Skud14_-_598241-597996_0	Smik14_-_589631-589380_2	chrXIV_-_618131-617952_1
chrVII_-_278796-278623_0	Sbay7_-_277647-277399_0	chrVII_-_281413-281330_2	Skud7_-_285683-285588_0	Smik7_-_275455-275342_2	chrVII_-_281356-281234_0
chrXIV_-_437701-437606_0	Sbay14_-_446299-446081_2	chrXIV_-_447754-447530_1	Skud14_-_438019-437795_1	Smik14_-_427863-427732_1	chrXIV_-_441658-441434_2
chrVIII_+_44161-44265_1	Sbay8_+_34633-34752_1	chrVIII_+_33049-33192_1	Skud8_+_21042-21119_0	Smik8_+_16717-16836_1	chrVIII_+_22439-22522_2
chrXIV_-_406471-406352_0	Sbay14_-_414415-414320_2	chrXIV_-_417593-417498_0	Skud14_-_407771-407676_0	Smik14_-_397259-397143_2	chrXIV_-_411743-411465_1
chrXVI_+_471847-471948_1	Sbay16_+_501174-501341_0	chrXVI_+_497848-497949_1	Skud16_+_462936-463037_0	Smik16_+_375096-375209_0	chrXVI_+_525171-525272_0
chrXIV_-_52255-52130_0	Sbay14_-_65362-65234_2	chrXIV_-_68631-68467_2	Skud14_-_62239-62072_1	Smik14_-_52988-52857_2	chrXIV_-_61971-61762_0
chrXV_-_51741-51478_1	Sbay15_-_59238-59047_1	chrXV_-_81328-81065_2	Skud15_-_46679-46560_2	Smik15_-_49514-49263_0	chrXV_-_79752-79435_1
chrIV_-_339019-338951_0	Sbay4_-_299598-299515_0	chrIV_-_310218-310132_2	Skud4_-_305743-305642_2	Smik4_-_286670-286584_2	chrIV_-_319307-319221_2
chrXIII_+_986469-986537_0	Sbay2_+_1008302-1008382_2	chrIV_+_1256939-1257061_2	Skud4_+_1177539-1177628_0	Smik4_+_1177382-1177525_2	chrIV_+_1232885-1232971_2
chrX_+_628121-628237_2	Sbay12_+_328830-328913_0	chrX_+_649225-649344_1	Skud10_+_608056-608172_1	Smik10_+_638422-638529_1	chrX_+_646082-646165_2
chrXIV_-_97370-97242_2	Sbay14_-_105220-105047_2	chrXIV_-_110750-110538_0	Skud14_-_99291-99136_2	Smik14_-_89672-89511_2	chrXIV_-_101684-101484_1
chrII_+_462301-462393_1	Sbay4_+_652401-652493_0	chrII_+_483502-483624_1	Skud2_+_451102-451236_1	Smik2_+_468215-468325_2	chrII_+_475143-475286_0
chrX_-_630758-630606_2	Sbay12_-_331458-331321_1	chrX_-_651958-651812_2	Skud10_-_610703-610578_0	Smik10_-_641092-640967_2	chrX_-_648794-648609_1
chrIX_+_380951-381226_2	Sbay9_+_392519-392731_2	chrIX_+_407437-407709_1	Skud9_+_375131-375337_2	Smik9_+_380851-381117_1	chrIX_+_384023-384310_2
chrXIV_-_554590-554354_0	Sbay14_-_558690-558325_0	chrXIV_-_576450-576223_2	Skud38_-_2677-2321_2	Smik14_-_539080-538787_0	chrXIV_-_563087-562815_1
chrXII_-_431512-431267_2	Sbay10_-_458161-457967_1	chrXII_-_447927-447817_2	Skud12_-_431766-431662_0	Smik12_-_430528-430412_2	chrXII_-_436776-436669_0
chrXII_-_542801-542616_1	Sbay10_-_558789-558700_2	chrXII_-_586493-586311_0	Skud12_-_532964-532875_1	Smik12_-_533491-533342_2	chrXII_-_558102-558013_0
chrXIII_-_968733-968659_1	Sbay2_-_990428-990354_0	chrIV_-_1239472-1239368_1	Skud4_-_1162391-1162284_1	Smik4_-_1159949-1159875_2	scaffold181_-_8960-8856_0
chrXI_-_536194-536045_0	Sbay11_-_536178-536053_0	chrXI_-_552446-552318_2	Skud11_-_533965-533837_2	Smik11_-_542300-542220_2	chrXI_-_566227-566099_0
chrII_+_322477-322575_1	Sbay4_+_508021-508194_1	chrII_+_342572-342694_2	Skud2_+_311709-311810_0	Smik2_+_324299-324430_2	chrII_+_332390-332512_2
chrXII_-_533332-533057_2	Sbay10_-_549286-549056_1	chrXII_-_576991-576761_1	Skud12_-_523705-523427_2	Smik12_-_524047-523682_2	chrXII_-_548629-548399_2
chrXI_-_158235-158050_1	Sbay11_-_157534-157352_2	chrXI_-_171575-171294_2	Skud11_-_157579-157400_2	Smik11_-_157390-157247_0	chrXI_-_180492-180328_1
chrVI_-_131826-131647_2	Sbay6_-_95204-95079_0	chrVI_-_123331-123182_2	Skud6_-_125639-125376_0	Smik6_-_136537-136385_1	chrVI_-_154755-154576_2
chrXV_-_414079-414017_0	Sbay8_-_209851-209693_1	chrXV_-_447009-446683_0	Skud15_-_408874-408701_0	Smik15_-_413050-412859_1	chrXV_-_445019-444861_2
chrXII_-_393689-393393_1	Sbay10_-_419164-419054_1	chrXII_-_410655-410509_2	Skud12_-_393337-393182_2	Smik12_-_391940-391794_1	chrXII_-_399232-399110_2
chrXIV_-_413929-413612_0	Sbay14_-_421880-421746_1	chrXIV_-_425001-424807_2	Skud14_-_415200-414946_2	Smik14_-_404636-404466_2	chrXIV_-_418974-418762_0
chrXV_-_894441-894361_1	Sbay8_-_691270-690896_1	chrXV_-_949190-949110_1	Skud15_-_889215-889120_1	Smik15_-_898791-898711_2	chrXV_-_918188-918108_2
chrXVI_+_832256-832396_2	Sbay16_+_865858-865965_1	chrXVI_+_883611-883730_0	Skud16_+_826096-826203_1	Smik16_+_746282-746386_2	chrXVI_+_899882-899992_2
chrVI_-_251313-251062_2	Sbay12_+_10942-11121_1	chrVI_-_248626-248405_2	Skud6_-_243618-243397_2	Smik7_-_609369-609094_0	chrVI_-_274192-273971_1
chrIV_+_995272-995439_1	Sbay13_+_756691-756816_1	chrXIII_+_777417-777500_0	Skud13_+_751410-751475_0	Smik13_+_760534-760599_1	chrXIII_+_745379-745516_2
chrII_+_53199-53546_0	Sbay2_+_60234-60299_0	chrII_+_63504-63629_0	Skud2_+_47182-47247_1	Smik2_+_57085-57255_1	chrII_+_57978-58184_0
chrIII_+_127118-127240_2	Sbay3_+_51399-51551_0	chrIII_+_137651-137788_2	Skud3_+_119953-120084_1	Smik3_+_137538-137690_0	chrIII_+_132541-132702_1
chrI_-_117064-116999_1	Sbay1_-_120466-120368_0	chrI_-_143429-143325_0	Skud1_-_118451-118371_2	Smik1_-_126581-126507_1	chrI_-_119336-119262_1
chrVII_+_472324-472416_1	Sbay7_+_470753-470833_2	chrVII_+_479463-479555_0	Skud7_+_482585-482677_2	Smik7_+_471453-471569_0	chrVII_+_479211-479303_0
chrXV_+_786774-786917_0	Sbay8_+_581881-582057_1	chrXV_+_842338-842469_1	Skud15_+_781172-781246_2	Smik15_+_792012-792110_0	chrXV_+_809895-809999_0
chrVII_+_791350-791526_1	Sbay7_+_784275-784391_0	chrVII_+_827156-827326_2	Skud7_+_800587-800781_1	Smik6_+_434857-435042_1	chrVII_-_795309-795133_1
chrII_-_632542-632321_0	Sbay4_-_821566-821423_2	chrII_-_651313-651170_1	Skud2_-_620181-620008_1	Smik2_-_637495-637307_1	chrII_-_650388-650203_0
chrIV_-_277008-276838_1	Sbay4_-_236629-236498_2	chrIV_-_248207-248043_0	Skud4_-_243807-243700_0	Smik4_-_224862-224728_1	chrIV_-_257313-257146_1
chrXIV_+_427322-427411_2	Sbay14_+_435177-435266_0	chrXIV_+_438299-438391_2	Skud14_+_428453-428542_2	Smik14_+_417966-418055_0	chrXIV_+_432269-432358_2
chrXII_+_254049-254165_0	Sbay10_+_272335-272538_1	chrXII_+_270855-270941_0	Skud12_+_255568-255810_1	Smik12_+_251585-251689_2	chrXII_+_257356-257457_1
chrVI_+_131656-131826_1	Sbay6_+_95061-95204_0	chrVI_+_123206-123457_2	Skud6_+_125412-125504_0	Smik6_+_136394-136516_2	chrVI_+_154585-154725_1
chrIV_+_276862-276957_1	Sbay4_+_236561-236620_2	chrIV_+_248076-248162_0	Skud4_+_243712-243798_1	Smik4_+_224758-224817_1	chrIV_+_257182-257268_1
chrXIV_-_41229-41137_1	Sbay14_-_54181-53984_2	chrXIV_-_57809-57720_0	Skud14_-_51359-51204_0	Smik14_-_42260-42138_2	chrXIV_-_51100-51011_2
chrXV_-_220581-220381_1	Sbay15_-_227805-227671_1	chrXV_-_255344-255159_1	Skud15_-_214214-214065_2	Smik15_-_221445-221374_2	chrXV_-_249304-249122_0
chrXIV_-_515053-514934_0	Sbay14_-_522372-522211_0	chrXIV_-_529728-529543_2	Skud14_-_513757-513617_1	Smik14_-_503806-503630_0	chrXIV_-_517551-517375_0
chrV_+_282768-282983_0	Sbay5_+_283960-284175_1	chrV_+_307063-307278_1	Skud5_+_302289-302489_0	Smik5_+_315547-315762_1	chrV_+_306710-306925_2
chrVII_+_164846-164989_2	Sbay7_+_162648-162743_0	chrVII_+_166649-166792_2	Skud7_+_172285-172374_1	Smik7_+_161789-161878_2	chrVII_+_166804-166893_1
chrXI_-_572972-572724_2	Sbay11_-_573994-573665_2	chrXI_-_589430-589245_2	Skud11_-_570918-570697_0	Smik11_-_579327-579076_1	chrXI_-_603453-603202_1
chrV_-_274669-274502_2	Sbay5_-_275739-275551_0	chrV_-_299015-298851_0	Skud5_-_294229-294044_2	Smik5_-_307430-307299_1	chrV_-_298225-298079_0
chrV_+_81830-81949_2	Sbay5_+_80797-80913_1	chrV_+_107009-107131_2	Skud5_+_106412-106552_2	Smik5_+_113005-113112_1	chrV_+_83177-83437_2
chrXVI_-_390089-389913_2	Sbay16_-_418249-417995_2	chrXVI_-_407882-407778_2	Skud16_-_379197-379027_1	Smik16_-_290945-290787_2	chrXVI_-_441025-440819_1
chrVII_+_963659-963766_2	Sbay7_+_955984-956136_1	chrVII_+_1000562-1000672_2	Skud7_+_974870-975046_2	Smik16_-_96375-96277_1	chrVII_+_972176-972313_2
chrVII_-_509414-509070_1	Sbay7_-_508478-508140_1	chrVII_-_516519-516205_0	Skud7_-_520027-519683_1	Smik7_-_508251-507907_0	chrVII_-_516224-515880_2
chrXIII_+_286065-286250_0	Sbay13_+_292982-293176_2	chrXIII_+_302611-302727_1	Skud13_+_289114-289284_1	Smik13_+_294319-294480_1	chrXIII_+_293481-293636_0
chrVIII_-_46301-46167_2	Sbay8_-_36764-36684_0	chrVIII_-_35156-35022_1	Skud8_-_23160-23053_1	Smik8_-_18832-18725_0	chrVIII_-_24546-24412_1
chrIX_+_118507-118611_1	Sbay9_+_133120-133215_1	chrIX_+_138308-138463_2	Skud9_+_115122-115241_0	Smik9_+_116084-116182_2	chrIX_+_116972-117070_2
chrI_-_117045-116938_2	Sbay1_-_120414-120310_1	chrI_-_143371-143264_1	Skud1_-_118417-118310_0	Smik1_-_126553-126446_2	chrI_-_119308-119132_2
chrIV_-_1000072-999980_0	Sbay13_-_761504-761430_2	chrXIII_-_782233-782090_2	Skud13_-_756189-756058_2	Smik13_-_765384-765190_2	chrXIII_-_750199-750038_0
chrIX_+_358282-358533_1	Sbay9_+_370996-371682_1	chrIX_+_383482-384165_1	Skud9_+_353868-354686_0	Smik9_+_359150-359848_2	chrIX_+_359937-360173_0
chrXIII_+_813990-814088_0	Sbay2_+_836417-836542_2	chrIV_+_1071653-1071751_2	Skud4_+_1014067-1014165_1	Smik4_+_1003202-1003342_2	chrIV_+_1125769-1125861_1
chrIV_+_123547-123636_1	Sbay4_+_82797-82904_0	chrIV_+_94438-94515_1	Skud4_+_91685-91780_2	Smik4_+_72637-72753_1	chrIV_+_103623-103685_0
chrVI_+_176685-176828_0	Sbay6_+_140074-140253_1	chrVI_-_169804-169736_2	Skud6_+_170305-170451_1	Smik7_-_531445-531296_2	chrVI_-_195855-195775_2
chrV_+_473623-473727_1	Sbay5_+_477883-478038_1	chrV_+_510211-510300_1	Skud5_+_495228-495389_0	Smik5_+_509689-509835_1	chrV_+_512255-512344_2
chrX_+_381911-382204_2	Sbay12_+_75956-76270_2	chrX_+_393386-393697_2	Skud10_+_361237-361554_1	Smik10_+_389741-390043_2	chrX_+_396025-396336_1
chrIV_+_226961-227332_2	Sbay4_+_186326-186436_2	chrIV_+_198335-198571_2	Skud4_+_193971-194210_0	Smik4_+_175347-175466_0	chrIV_+_206738-206908_2
chrV_+_356414-356473_2	Sbay5_+_356453-356512_2	chrV_+_382175-382234_2	Skud5_+_378314-378373_2	Smik5_+_391060-391119_1	chrV_+_393160-393228_1
chrXIV_+_437405-437668_2	Sbay14_+_445928-446161_2	chrXIV_+_447347-447610_2	Skud14_+_437654-437875_2	Smik14_+_427381-427794_1	chrXIV_+_441251-441514_2
chrXII_+_866537-866845_2	Sbay10_+_890415-890549_0	chrXII_+_924735-924869_0	Skud12_+_864884-865117_2	Smik12_+_863316-863579_0	chrXII_+_887238-887375_0
chrXII_-_225245-225087_1	Sbay10_-_245069-244911_0	chrXII_-_243450-243295_2	Skud12_-_228307-228167_2	Smik12_-_224434-224309_2	chrXII_-_229973-229845_1
chrX_-_503951-503766_2	Sbay12_-_202834-202601_0	chrX_-_526135-526037_2	Skud10_-_483476-483378_0	Smik10_-_514748-514650_1	chrX_-_519546-519253_0
chrXIV_+_161625-161717_0	Sbay14_+_169265-169363_2	chrXIV_+_174491-174592_2	Skud14_+_163269-163340_0	Smik14_+_153614-153706_2	chrXIV_+_165348-165449_0
chrXIII_-_416898-416794_1	Sbay13_-_426719-426615_2	chrXIII_-_445252-445103_2	Skud13_-_419064-418960_2	Smik13_-_429073-428969_1	chrXIII_-_427432-427283_0
chrII_-_154674-154606_1	Sbay2_-_164320-164252_1	chrII_-_164256-164188_2	Skud2_-_148072-148004_0	Smik2_-_158011-157943_1	chrII_-_159364-159296_2
chrV_-_490678-490523_2	Sbay5_-_494993-494847_1	chrV_-_527163-527020_2	Skud5_-_512269-512021_2	Smik5_-_526778-526527_1	chrV_-_529184-529041_2
chrXVI_+_389836-390039_1	Sbay16_+_417999-418184_0	chrXVI_+_407773-407922_1	Skud16_+_379031-379162_2	Smik16_+_290815-290901_1	chrXVI_+_440898-441029_0
chrVIII_-_235625-235032_2	Sbay15_-_435086-434682_2	chrVIII_-_233368-232997_2	Skud8_-_206787-205963_1	Smik8_-_208753-208382_0	chrVIII_-_215128-214802_0
chrX_-_91082-90969_2	Sbay6_+_444364-444510_1	chrX_-_104900-104802_1	Skud10_-_79653-79561_2	Smik10_-_103002-102886_0	chrX_-_104396-104280_1
chrXVI_+_14105-14221_2	Sbay16_+_43988-44278_2	chrXVI_+_28356-28523_0	Skud16_+_7543-7722_1	Smik6_-_792772-792686_1	chrXVI_+_65647-65829_1
chrII_-_187407-187333_1	Sbay2_-_191394-191323_2	chrII_-_196882-196808_1	Skud2_-_180633-180559_1	Smik2_-_190178-190104_0	chrII_-_192281-192207_1
chrIV_-_1114215-1114102_1	Sbay13_-_878454-878278_1	chrXIII_-_895500-895387_0	Skud13_-_868993-868826_1	Smik13_-_878322-878107_2	chrXIII_-_864166-863999_0
chrXII_+_883062-883136_0	Sbay10_+_906772-906903_1	chrXII_+_941067-941156_0	Skud12_+_881246-881356_2	Smik12_+_879721-879810_1	chrXII_+_903583-903714_1
chrXII_-_325106-324405_1	Sbay10_-_346948-346691_1	chrXII_-_341983-341684_1	Skud12_-_325526-324792_1	Smik12_-_321909-321640_0	chrXII_-_328450-328148_2
chrXIV_-_485135-485064_2	Sbay14_-_492794-492669_1	chrXIV_-_493933-493847_1	Skud14_-_484145-484062_0	Smik14_-_474340-474215_0	chrXIV_-_487908-487813_0
chrXII_-_618202-618110_2	Sbay10_-_635042-634860_0	chrXII_-_673823-673671_0	Skud12_-_614665-614597_2	Smik12_-_611834-611676_1	chrXII_-_634167-634015_0
chrXIII_+_8835-9182_0	Sbay13_+_14393-14593_2	chrXIII_+_14653-14949_1	Skud13_+_14490-14657_0	Smik13_+_11091-11339_0	chrXIII_+_15645-15851_0
chrXVI_-_548663-548502_2	Sbay16_-_580043-579903_1	chrXVI_-_576538-576113_0	Skud16_-_540644-540396_2	Smik16_-_452417-452331_2	chrXVI_-_603818-603666_0
chrXIII_+_113642-113800_2	Sbay13_+_120810-120902_0	chrXIII_+_119273-119431_2	Skud13_+_118654-118746_1	Smik13_+_117154-117255_1	chrXIII_+_119950-120042_1
chrIV_+_338961-339050_0	Sbay4_+_299483-299596_2	chrIV_+_310100-310198_2	Skud4_+_305610-305708_0	Smik4_+_286552-286650_1	chrIV_+_319189-319365_1
chrVII_-_599453-599274_1	Sbay7_-_592793-592596_1	chrVII_-_617613-617410_0	Skud7_-_604720-604523_1	Smik6_-_243458-243276_0	chrVII_-_601812-601645_1
chrXV_+_413734-414105_1	Sbay8_+_209743-209877_1	chrXV_+_446841-447035_0	Skud15_+_408745-408900_1	Smik15_+_412921-413076_1	chrXV_+_444911-445045_2
chrXVI_+_825598-825702_1	Sbay16_+_859362-859520_0	chrXVI_+_874968-875150_0	Skud16_+_817696-817800_1	Smik16_+_736234-736338_1	chrXVI_+_891195-891347_0
chrXV_+_357576-357869_0	Sbay8_+_153568-153735_1	chrXV_+_390997-391167_1	Skud15_+_350868-351053_0	Smik15_+_356959-357108_1	chrXV_+_387643-387783_1
chrVIII_+_487755-487826_0	Sbay15_+_688664-688801_2	chrVIII_+_484584-484742_0	Skud8_+_453505-453663_1	Smik8_+_459497-459655_2	chrVIII_+_479175-479357_0
chrVII_-_886736-886545_1	Sbay7_-_878497-878339_2	chrVII_-_921903-921745_0	Skud7_-_896756-896523_0	Smik16_+_174655-174813_1	chrVII_-_894109-893951_0
chrIX_-_230215-230012_0	Sbay9_-_244682-244590_1	chrIX_-_256013-255900_0	Skud9_-_224962-224747_0	Smik9_-_230176-230000_1	chrIX_-_228982-228887_0
chrXV_-_812376-812308_1	Sbay8_-_608737-608669_1	chrXV_-_867971-867903_1	Skud15_-_807531-807463_1	Smik15_-_817433-817365_0	chrXV_-_836323-836255_0
chrXV_-_794866-794711_0	Sbay8_-_590098-589904_1	chrXV_-_850374-850210_0	Skud15_-_789221-789057_2	Smik15_-_800413-800219_1	chrXV_-_817931-817704_2
chrIV_-_1000016-999936_2	Sbay13_-_761466-761386_1	chrXIII_-_782126-782031_1	Skud13_-_756094-756014_1	Smik13_-_765226-765131_1	chrXIII_-_750074-749979_2
chrIV_+_338146-338379_1	Sbay4_+_298704-298955_0	chrIV_+_309306-309593_0	Skud4_+_304820-305005_2	Smik4_+_285873-286001_0	chrIV_+_318383-318643_2
chrII_-_462207-462133_1	Sbay4_-_652311-652237_0	chrII_-_483535-483368_1	Skud2_-_451093-450962_0	Smik2_-_468142-468068_1	chrII_-_475128-475006_0
chrVIII_-_46131-46033_1	Sbay8_-_36629-36495_0	chrVIII_-_35021-34914_1	Skud8_-_23026-22901_0	Smik8_-_18648-18574_1	chrVIII_-_24411-24292_1
chrVIII_+_44144-44311_2	Sbay8_+_34610-34789_2	chrVIII_+_33008-33151_2	Skud8_+_20989-21285_1	Smik8_+_16691-16849_2	chrVIII_+_22407-22559_0
chrXVI_-_564565-564470_0	Sbay16_-_596908-596813_2	chrXVI_-_592331-592176_2	Skud16_-_556637-556548_2	Smik16_-_468024-467875_1	chrXVI_-_619881-619726_2
chrXII_-_324685-324443_2	Sbay10_-_346935-346546_2	chrXII_-_341973-341734_2	Skud12_-_325105-324869_2	Smik12_-_321881-321588_1	chrXII_-_328407-328198_0
chrXI_+_421175-421246_2	Sbay11_+_419700-419759_0	chrXI_+_435460-435579_1	Skud11_+_416462-416521_2	Smik11_+_422471-422590_2	chrXI_+_449496-449576_0
chrXIV_-_515048-514929_2	Sbay14_-_522412-522233_2	chrXIV_-_529723-529607_1	Skud14_-_513797-513639_0	Smik14_-_503810-503715_2	chrXIV_-_517591-517436_2
chrXV_+_589970-590443_2	Sbay8_+_382296-382670_0	chrXV_+_633121-633612_1	Skud15_+_582006-582299_0	Smik15_+_589257-589481_0	chrXV_+_605755-606045_1
chrXII_+_302854-303048_1	Sbay10_+_325012-325116_1	chrXII_+_320163-320315_0	Skud12_+_303355-303540_1	Smik12_+_299971-300243_1	chrXII_+_306617-306814_2
chrVIII_-_44261-44124_2	Sbay8_-_34775-34623_0	chrVIII_-_33158-32985_1	Skud8_-_21142-20966_0	Smik8_-_16832-16617_2	chrVIII_-_22539-22429_1
chrVII_-_541076-540870_1	Sbay7_-_533489-533061_1	chrVII_-_547589-547293_1	Skud7_-_547187-546774_0	Smik6_-_183487-183188_1	chrVII_-_542712-542461_1
chrXV_+_394460-394552_2	Sbay8_+_190484-190618_2	chrXV_+_427409-427501_2	Skud15_+_387306-387464_0	Smik15_+_393543-393674_0	chrXV_+_424171-424359_1
chrII_+_720442-720714_1	Sbay4_+_909844-910086_1	chrII_+_738167-738436_2	Skud2_+_707195-707467_2	Smik2_+_724181-724573_2	chrII_+_738477-738725_0
chrII_+_483634-483771_1	Sbay4_+_673607-673939_2	chrII_+_504762-504986_0	Skud2_+_472432-472569_1	Smik2_+_489388-489591_1	chrII_+_496438-496662_1
chrXIII_-_905082-904954_1	Sbay2_-_926061-925837_2	chrIV_-_1168997-1168881_0	Skud4_-_1097963-1097835_1	Smik4_-_1095131-1095000_2	chrIV_+_1021555-1021668_1
chrV_+_76646-76738_2	Sbay5_+_75609-75719_0	chrV_+_101842-101928_1	Skud5_+_101224-101316_1	Smik5_+_107804-107911_2	chrV_+_78108-78236_0
chrVIII_-_88254-88165_1	Sbay8_-_77974-77909_1	chrVIII_-_75943-75785_2	Skud8_-_63976-63905_0	Smik8_-_59648-59559_2	chrVIII_-_65542-65429_0
chrX_-_440752-440567_0	Sbay12_-_135203-135027_2	chrX_-_452082-451966_0	Skud10_-_419732-419415_0	Smik10_-_449301-449116_0	chrX_-_455701-455573_2
chrXIV_-_437587-437498_0	Sbay14_-_446080-445991_2	chrXIV_-_447529-447440_1	Skud14_-_437794-437708_1	Smik14_-_427713-427624_1	chrXIV_-_441418-441344_2
chrIV_-_276997-276848_0	Sbay4_-_236669-236529_1	chrIV_-_248211-248083_2	Skud4_-_243976-243662_2	Smik4_-_224866-224630_0	chrIV_-_257317-257189_0
chrIX_-_192684-192496_1	Sbay9_-_207122-206937_1	chrIX_-_216753-216592_2	Skud9_-_187629-187468_1	Smik9_-_191486-191190_0	chrIX_-_191310-191152_1
chrXV_-_93106-92990_0	Sbay15_-_101310-101125_1	chrXV_-_128203-128060_2	Skud15_-_87609-87442_1	Smik15_-_91323-91168_2	chrXV_-_121438-121295_0
chrXVI_-_564558-564445_1	Sbay16_-_596925-596788_0	chrXVI_-_592348-592193_0	Skud16_-_556654-556523_0	Smik16_-_468044-467910_2	chrXVI_-_619874-619743_0
chrVII_+_164923-165078_1	Sbay7_+_162677-163075_2	chrVII_+_166726-166872_1	Skud7_+_172308-172457_0	Smik7_+_161812-162006_1	chrVII_+_166827-167051_0
chrXI_+_142185-142364_0	Sbay11_+_140684-140821_2	chrXI_+_154848-154955_0	Skud11_+_141345-141509_0	Smik11_+_140156-140242_2	chrXI_+_163360-163470_1
chrVII_-_428961-428833_0	Sbay7_-_428028-427786_0	chrVII_-_437409-437296_0	Skud7_-_439893-439771_2	Smik7_-_428767-428669_2	chrVII_-_436881-436741_1
chrIV_+_245781-245867_0	Sbay4_+_205380-205466_0	chrIV_+_217061-217153_2	Skud4_+_212686-212772_1	Smik4_+_193661-193747_2	chrIV_+_225361-225447_1
chrII_+_296481-296585_0	Sbay4_+_482230-482433_1	chrII_+_316480-316665_1	Skud2_+_286189-286344_1	Smik2_+_297412-297555_1	chrII_+_305800-305940_1
chrIV_-_276962-276885_2	Sbay4_-_236634-236557_0	chrIV_-_248176-248099_1	Skud4_-_243842-243735_1	Smik4_-_224831-224754_2	chrIV_-_257282-257205_2
chrVIII_-_45472-45359_0	Sbay8_-_35964-35824_2	chrVIII_-_34384-34232_2	Skud8_-_22359-22210_1	Smik8_-_18054-17905_1	chrVIII_-_23778-23626_1
chrXVI_-_802490-802332_2	Sbay16_-_836598-836419_0	chrXVI_-_840254-840159_2	Skud16_-_793759-793487_0	Smik16_-_712135-712016_0	chrXVI_-_868418-868293_0
chrVII_-_55229-55083_1	Sbay7_-_51011-50859_1	chrVII_-_56361-56260_0	Skud7_-_60558-60412_2	Smik7_-_51203-51051_1	chrVII_-_58132-58031_0
chrV_+_81819-82055_0	Sbay5_+_80834-80941_2	chrV_+_106998-107120_0	Skud5_+_106437-106571_0	Smik5_+_112997-113119_2	chrV_+_83304-83426_0
chrX_+_301328-301615_2	Sbay6_-_234295-234029_1	chrX_+_316784-317056_2	Skud10_-_302126-301884_0	Smik10_+_308597-308902_2	chrX_+_314490-314894_0
chrIV_-_849357-849064_1	Sbay13_-_612454-612215_0	chrXIII_-_632317-632105_2	Skud13_-_606348-606160_2	Smik13_-_616623-616504_2	chrXIII_-_620099-619887_2
chrXIV_+_406208-406456_2	Sbay14_+_414308-414400_2	chrXIV_+_417489-417578_0	Skud14_+_407622-407756_0	Smik14_+_397140-397223_0	chrXIV_+_411360-411545_0
chrXI_-_573051-572851_1	Sbay11_-_574013-573792_1	chrXI_-_589473-589306_1	Skud11_-_571027-570824_2	Smik11_-_579370-579203_0	chrXI_-_603496-603329_0
chrIX_+_48515-48667_2	Sbay9_+_63357-63440_0	chrIX_+_68547-68783_0	Skud9_+_45801-45893_0	Smik9_+_46300-46443_1	chrIX_+_47281-47466_1
chrXII_-_737571-737458_0	Sbay10_-_754915-754826_1	chrXII_-_794745-794617_2	Skud12_-_734753-734613_1	Smik12_-_732129-731989_0	chrXII_-_755463-755335_0
chrXIV_-_45696-45421_1	Sbay14_-_58495-58220_2	chrXIV_-_62163-61888_2	Skud14_-_55698-55423_2	Smik14_-_46586-46311_2	chrXIV_-_55464-55189_0
chrXI_-_146727-146668_1	Sbay11_-_145276-145217_2	chrXI_-_159319-159260_0	Skud11_-_145915-145856_2	Smik11_-_144628-144539_0	chrXI_-_167868-167809_1
